customer_id,age,tenure_months,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,gender,churn
CUST00000,56,23,118.28055143063003,6184.827673090519,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,Female,1
CUST00001,69,32,78.80082455667362,2610.9380715756524,No,No,No,No,Yes,No,No,Two year,Yes,Electronic check,Female,1
CUST00002,46,62,25.61213781218239,5929.341138150582,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,Female,0
CUST00003,32,10,60.24809686111501,6901.179823490664,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,Female,1
CUST00004,60,54,61.614318330767155,2775.2904654602025,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card,Female,0
CUST00005,25,52,128.98587752637206,2732.36865287143,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card,Male,0
CUST00006,78,20,105.04989713998367,7201.612203173281,No,Yes,No,No,No,No,No,Two year,No,Electronic check,Male,1
CUST00007,38,32,55.80588747313147,417.3262204379189,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,Female,0
CUST00008,56,14,145.8061941056812,2814.511457732138,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,Female,1
CUST00009,75,50,61.800438211723275,967.0064867329966,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,Female,0
CUST00010,36,28,149.77042335773365,251.26511019481035,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,Male,1
CUST00011,40,53,149.50128011213422,920.6979528216406,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,Female,0
CUST00012,28,24,44.85736730707643,3461.34141361861,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card,Male,0
CUST00013,28,22,60.65634510449202,5501.90943243777,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Bank transfer,Male,1
CUST00014,41,30,83.18574580300505,2328.4737470468644,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,Female,0
CUST00015,70,63,106.33308724922583,6800.408953060975,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,Female,0
CUST00016,53,4,88.64616837049391,3512.1727173320332,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card,Female,1
CUST00017,57,59,146.02739098719337,7746.459846674714,No,No,Yes,No,No,Yes,Yes,One year,No,Credit card,Female,0
CUST00018,41,8,114.11859135063989,7634.162242160726,No,Yes,No,No,Yes,No,No,One year,No,Electronic check,Female,1
CUST00019,20,12,47.56583041978668,6190.744256881184,No,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,Male,1
CUST00020,39,31,33.66268152777298,7460.595859250013,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,Male,1
CUST00021,70,34,109.49216779221638,5662.626687765671,No,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,Female,0
CUST00022,19,49,40.59881722349919,7166.753856129627,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,Female,0
CUST00023,41,57,122.39798924364804,1907.060264583126,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer,Female,0
CUST00024,61,26,60.4347667438438,2776.453197410853,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer,Female,1
CUST00025,47,18,62.496124197228845,6028.3819267187955,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer,Female,1
CUST00026,55,38,21.403791010636557,3407.998680888326,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,Male,1
CUST00027,19,50,111.13146472235529,6701.872921919653,No,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,Male,0
CUST00028,77,8,34.72506789840915,7023.558195270445,No,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer,Male,0
CUST00029,38,41,120.47447507025736,2411.84128807298,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer,Male,1
CUST00030,50,6,83.94281684923689,6591.1374493527965,No,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,Female,0
CUST00031,29,69,121.95637594409398,1251.0288830998975,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,Female,0
CUST00032,75,44,95.91045009570637,2686.8897580640555,No,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,Female,0
CUST00033,39,64,30.716325362468798,4153.360309948684,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,Male,0
CUST00034,78,29,119.5348037716738,1827.0212215890595,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,Male,1
CUST00035,61,28,29.073933036317467,4642.55728001009,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card,Female,0
CUST00036,42,11,82.2312236740132,4637.986728166819,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,Male,1
CUST00037,66,65,42.40539783884523,1671.0851009102278,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,Female,0
CUST00038,44,19,117.80357313712504,6369.217932185944,No,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,Female,1
CUST00039,76,9,138.50685961479644,5060.523025503745,No,No,No,Yes,No,Yes,No,Two year,No,Electronic check,Female,1
